OBJECTID,long_,lat,thick,alt,Z_Lorenzo,bed_Z
1,86.697659999999999,27.956762999999999,163.301574707031250,4708.000000000000000,4701.9785156,4539
2,86.697709000000003,27.956862000000001,164.043167114257810,4704.000000000000000,4700.1728516,4536
3,86.697801999999996,27.956842000000002,166.267929077148440,4702.000000000000000,4702.2241211,4536
4,86.697864999999993,27.956872000000001,166.267929077148440,4704.000000000000000,4703.3632813,4537
5,86.697906000000003,27.956882000000000,164.413970947265620,4704.000000000000000,4703.5712891,4539
6,86.697946000000002,27.956918000000002,164.043167114257810,4703.000000000000000,4703.7548828,4540
7,86.698014000000001,27.956918999999999,167.009490966796870,4704.000000000000000,4706.4975586,4539
8,86.698079000000007,27.956954000000000,169.604980468750000,4705.000000000000000,4708.6137695,4539
9,86.698130000000006,27.956983999999999,171.829650878906250,4708.000000000000000,4708.0034180,4536
10,86.698186000000007,27.956994000000002,174.795822143554690,4710.000000000000000,4708.4155273,4534
11,86.698233000000002,27.957021999999998,177.391159057617190,4714.000000000000000,4708.7895508,4531
12,86.698290999999998,27.957052999999998,182.210952758789060,4716.000000000000000,4708.5532227,4526
13,86.698353999999995,27.957063999999999,184.435440063476560,4716.000000000000000,4708.8833008,4524
14,86.698378000000005,27.957082000000000,186.659881591796870,4714.000000000000000,4709.0327148,4522
15,86.698458000000002,27.957103000000000,188.142852783203120,4718.000000000000000,4710.8710938,4523
16,86.698521999999997,27.957128000000001,189.255050659179690,4719.000000000000000,4713.5454102,4524
17,86.698558000000006,27.957138000000000,192.220901489257810,4717.000000000000000,4715.1323242,4523
18,86.698650000000001,27.957103000000000,192.591644287109370,4715.000000000000000,4713.6215820,4521
19,86.698706000000001,27.957104000000001,197.040328979492190,4701.000000000000000,4712.5947266,4516
20,86.698751999999999,27.957075000000000,197.781753540039060,4706.000000000000000,4712.8530273,4515
21,86.698797999999996,27.957073999999999,197.781753540039060,4704.000000000000000,4713.5776367,4516
22,86.698826999999994,27.957032000000002,198.523193359375000,4701.000000000000000,4714.6640625,4516
23,86.698881000000000,27.957021000000001,198.523193359375000,4704.000000000000000,4716.3203125,4518
24,86.698993999999999,27.957090000000001,197.781753540039060,4703.000000000000000,4721.6035156,4524
25,86.699016000000000,27.957073999999999,196.669601440429690,4704.000000000000000,4722.2070313,4526
26,86.699089000000001,27.957063999999999,195.186706542968750,4704.000000000000000,4721.0781250,4526
27,86.699116000000004,27.957080999999999,194.445266723632810,4705.000000000000000,4720.1381836,4526
28,86.699185000000000,27.957080000000001,192.591644287109370,4710.000000000000000,4717.1875000,4525
29,86.699222000000006,27.957077999999999,189.255050659179690,4709.000000000000000,4715.6816406,4526
30,86.699280000000002,27.957086000000000,187.772109985351560,4706.000000000000000,4714.0336914,4526
31,86.699344999999994,27.957083999999998,185.176925659179690,4704.000000000000000,4711.2539063,4526
32,86.699448000000004,27.957114000000001,180.357192993164060,4707.000000000000000,4707.1074219,4527
33,86.699499000000003,27.957098999999999,179.615707397460940,4706.000000000000000,4705.4721680,4526
34,86.699547999999993,27.957128999999998,179.986450195312500,4706.000000000000000,4706.0620117,4526
35,86.699577000000005,27.957153999999999,180.727951049804690,4703.000000000000000,4706.8374023,4526
36,86.699679000000003,27.957159000000001,181.098709106445310,4703.000000000000000,4706.6323242,4526
37,86.699753000000001,27.957211000000001,181.098709106445310,4700.000000000000000,4705.0048828,4524
38,86.699800999999994,27.957222999999999,179.615707397460940,4702.000000000000000,4704.1762695,4525
39,86.699849999999998,27.957236999999999,178.503433227539060,4702.000000000000000,4703.7495117,4525
